player_name,league,season,season_type,stat_type,team,gp,min,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,orb,drb,reb,ast,stl,blk,tov,pf
Joaquin Taboada,Spanish Liga U,2026,Regular_Season,Totals,BLU,22,603.1,439,160,334,.479,48,137,.350,71,92,.772,42,77,119,74,30,11,56,52
Wilfried Arthur Tsafack,Spanish Liga U,2026,Regular_Season,Totals,GCLU,26,712.0,439,181,322,.562,6,36,.167,71,115,.617,96,115,211,33,42,23,63,59
Xabier Lopez,Spanish Liga U,2026,Regular_Season,Totals,CCLU,28,806.5,434,166,352,.472,22,77,.286,80,150,.533,75,170,245,48,37,12,54,60
Egor Amosov,Spanish Liga U,2026,Regular_Season,Totals,RMLU,28,715.4,415,153,353,.433,58,190,.305,51,71,.718,35,133,168,75,68,14,59,76
Joaquim Boumtje-Boumtje,Spanish Liga U,2026,Regular_Season,Totals,BLU,26,601.9,412,151,301,.502,36,108,.333,74,94,.787,44,116,160,46,30,20,74,47
Pau Riera,Spanish Liga U,2026,Regular_Season,Totals,LLU,18,489.5,400,138,291,.474,25,104,.240,99,150,.660,14,72,86,73,65,4,74,41
Jorge Carot Hernandez,Spanish Liga U,2026,Regular_Season,Totals,VLU,26,699.1,367,135,272,.496,18,85,.212,79,103,.767,64,143,207,27,27,17,57,66
Liam Krispin,Spanish Liga U,2026,Regular_Season,Totals,BLU,27,549.6,366,141,320,.441,43,131,.328,41,54,.759,20,40,60,32,35,2,26,66
Mohamed Sangare,Spanish Liga U,2026,Regular_Season,Totals,CCLU,28,748.7,359,134,260,.515,20,50,.400,71,118,.602,71,132,203,8,28,8,50,80
Gaye Khalifa Ababacar,Spanish Liga U,2026,Regular_Season,Totals,GLU,24,615.7,357,102,257,.397,21,87,.241,132,168,.786,68,141,209,19,35,17,74,72
Dylan Bordon Dri,Spanish Liga U,2026,Regular_Season,Totals,CCLU,18,569.7,354,120,288,.417,30,115,.261,84,104,.808,12,40,52,88,28,4,46,43
Alex Blanco,Spanish Liga U,2026,Regular_Season,Totals,VLU,25,640.6,353,136,355,.383,28,139,.201,53,104,.510,31,54,85,95,46,4,73,82
Wilmer Mejia,Spanish Liga U,2026,Regular_Season,Totals,ULU,17,469.3,335,124,260,.477,13,56,.232,74,104,.712,20,53,73,43,28,6,79,35
Arturas Butajevas,Spanish Liga U,2026,Regular_Season,Totals,ULU,21,574.9,328,135,271,.498,21,74,.284,37,69,.536,64,95,159,28,19,14,50,33
Mohamed Dabone,Spanish Liga U,2026,Regular_Season,Totals,BLU,25,520.9,325,117,195,.600,14,39,.359,77,118,.653,62,149,211,16,29,21,47,67
Alexander Savkov,Spanish Liga U,2026,Regular_Season,Totals,CZLU,25,593.4,310,106,240,.442,48,126,.381,50,59,.847,35,105,140,49,23,26,49,65
Oriol Molist,Spanish Liga U,2026,Regular_Season,Totals,GLU,24,547.4,309,103,271,.380,63,186,.339,40,48,.833,24,58,82,53,47,1,69,61
Guillem Naspler,Spanish Liga U,2026,Regular_Season,Totals,BMLU,29,650.5,308,93,241,.386,19,96,.198,103,144,.715,36,86,122,44,46,3,65,72
Ferran Mauri Guillen,Spanish Liga U,2026,Regular_Season,Totals,JLU,27,686.1,304,97,319,.304,47,176,.267,63,87,.724,23,43,66,71,30,1,53,74
Ferran Torreblanca,Spanish Liga U,2026,Regular_Season,Totals,BMLU,27,597.7,300,89,271,.328,56,185,.303,66,81,.815,42,78,120,56,39,2,74,58
Eetu Mikael Heinonen,Spanish Liga U,2026,Regular_Season,Totals,GCLU,25,625.8,295,94,269,.349,46,160,.288,61,73,.836,18,56,74,66,25,2,42,64
Urko Madariaga,Spanish Liga U,2026,Regular_Season,Totals,BLU,20,579.0,294,105,200,.525,0,1,.000,84,143,.587,75,103,178,44,27,11,57,68
Adrian de la Torre,Spanish Liga U,2026,Regular_Season,Totals,JLU,22,658.5,292,110,239,.460,32,109,.294,40,73,.548,33,113,146,60,41,16,51,45
Tomas Talcis,Spanish Liga U,2026,Regular_Season,Totals,VLU,25,593.3,289,98,208,.471,24,78,.308,69,91,.758,46,86,132,39,16,10,53,53
Joao Gluck,Spanish Liga U,2026,Regular_Season,Totals,UMLU,17,455.6,288,101,252,.401,42,126,.333,44,60,.733,33,60,93,25,31,4,33,48
Ibrahima Khalilou,Spanish Liga U,2026,Regular_Season,Totals,LLU,21,465.0,278,103,197,.523,12,43,.279,60,111,.541,58,76,134,35,12,34,66,56
Brayan Gonzalez,Spanish Liga U,2026,Regular_Season,Totals,GCLU,26,602.4,270,88,228,.386,46,125,.368,48,68,.706,13,80,93,136,40,0,68,53
Rafael Rodriguez Galvan,Spanish Liga U,2026,Regular_Season,Totals,CCLU,26,768.0,268,93,279,.333,47,164,.287,35,45,.778,12,51,63,96,21,4,50,62
Farly Nunez,Spanish Liga U,2026,Regular_Season,Totals,BLU,24,443.0,264,90,216,.417,43,129,.333,41,63,.651,15,38,53,18,36,6,22,47
Joan Llinas Terradas,Spanish Liga U,2026,Regular_Season,Totals,GLU,24,546.5,261,83,248,.335,24,112,.214,71,111,.640,41,48,89,26,25,3,50,53
Daniel Rodriguez Ramos,Spanish Liga U,2026,Regular_Season,Totals,BLU,27,621.0,257,82,195,.421,45,123,.366,48,83,.578,46,68,114,27,33,9,20,48
Ibai Hendrickx,Spanish Liga U,2026,Regular_Season,Totals,GLU,24,514.1,257,102,215,.474,7,28,.250,46,97,.474,63,92,155,26,32,9,53,56
Nikola Kusturica,Spanish Liga U,2026,Regular_Season,Totals,BLU,19,450.8,257,84,211,.398,24,98,.245,65,85,.765,49,94,143,37,29,12,50,34
Ilia Frolov,Spanish Liga U,2026,Regular_Season,Totals,RMLU,19,429.6,256,95,180,.528,22,61,.361,44,52,.846,51,90,141,19,20,9,38,63
Aiert Velasco,Spanish Liga U,2026,Regular_Season,Totals,BLU,21,441.3,251,78,203,.384,42,115,.365,53,69,.768,15,43,58,38,17,0,39,43
Humberto Ruiz,Spanish Liga U,2026,Regular_Season,Totals,JLU,24,525.1,250,84,205,.410,36,110,.327,46,76,.605,18,42,60,32,32,8,46,62
Alejandro Moreno,Spanish Liga U,2026,Regular_Season,Totals,CZLU,27,580.7,246,76,212,.358,36,129,.279,58,84,.690,16,49,65,103,27,2,63,60
Ludvik Murer Bergseng,Spanish Liga U,2026,Regular_Season,Totals,BMLU,27,569.4,245,95,207,.459,27,71,.380,28,42,.667,50,88,138,25,19,11,38,61
Jan Pumarola,Spanish Liga U,2026,Regular_Season,Totals,BMLU,25,584.7,245,93,216,.431,31,102,.304,28,35,.800,50,65,115,36,32,17,46,63
Kasekelayi Mervedi Miteo,Spanish Liga U,2026,Regular_Season,Totals,GCLU,22,468.4,244,100,204,.490,1,13,.077,43,77,.558,60,114,174,21,30,17,47,61
Youssouf Traore,Spanish Liga U,2026,Regular_Season,Totals,CZLU,18,435.2,238,90,161,.559,0,4,.000,58,88,.659,51,80,131,26,17,14,50,47
Aleksandar Zecevic,Spanish Liga U,2026,Regular_Season,Totals,BLU,22,521.1,238,110,189,.582,3,17,.176,15,27,.556,52,67,119,23,16,4,49,44
Luca Medal Coppini,Spanish Liga U,2026,Regular_Season,Totals,GLU,23,641.2,237,85,238,.357,9,45,.200,58,82,.707,11,57,68,87,36,1,95,45
Andrej Bjelic,Spanish Liga U,2026,Regular_Season,Totals,RMLU,22,512.2,237,81,219,.370,35,116,.302,40,51,.784,16,59,75,70,20,2,30,40
Matija Lukic,Spanish Liga U,2026,Regular_Season,Totals,CZLU,24,539.5,236,84,172,.488,21,76,.276,47,95,.495,25,39,64,67,33,3,46,57
Abdrahamane Kone,Spanish Liga U,2026,Regular_Season,Totals,BLU,24,402.6,235,93,148,.628,0,1,.000,49,89,.551,54,95,149,11,10,11,39,51
Alonso Reyes Abad,Spanish Liga U,2026,Regular_Season,Totals,BLU,25,499.0,235,75,188,.399,13,65,.200,72,97,.742,35,81,116,11,28,15,33,59
Mohamed Namakan Keita,Spanish Liga U,2026,Regular_Season,Totals,BLU,23,446.9,231,87,146,.596,9,18,.500,48,77,.623,54,79,133,21,11,11,43,57
Pablo Sevilla Navarro,Spanish Liga U,2026,Regular_Season,Totals,UMLU,23,554.6,231,80,184,.435,27,79,.342,44,74,.595,33,59,92,24,22,7,33,54
Marcos Bella Cabanas,Spanish Liga U,2026,Regular_Season,Totals,BLU,25,624.8,226,80,183,.437,24,80,.300,42,63,.667,32,64,96,58,44,0,41,51
Code Mbengue,Spanish Liga U,2026,Regular_Season,Totals,GCLU,21,434.3,216,96,146,.658,0,0,.000,24,45,.533,69,90,159,14,21,36,49,54
Ilan Laville,Spanish Liga U,2026,Regular_Season,Totals,VLU,25,470.7,215,72,194,.371,19,72,.264,52,70,.743,18,24,42,59,20,0,37,62
Seydina Faye,Spanish Liga U,2026,Regular_Season,Totals,CZLU,22,295.4,215,74,133,.556,3,17,.176,64,90,.711,21,65,86,16,16,4,43,45
Guillem Tazo,Spanish Liga U,2026,Regular_Season,Totals,VLU,25,493.8,215,72,138,.522,9,33,.273,62,81,.765,24,67,91,62,32,3,58,41
Anthony Rodriguez Aguila,Spanish Liga U,2026,Regular_Season,Totals,CZLU,26,433.5,211,87,142,.613,0,0,.000,37,56,.661,61,75,136,23,11,20,35,64
Lucas Sanchez,Spanish Liga U,2026,Regular_Season,Totals,BMLU,21,445.2,209,72,184,.391,13,58,.224,52,86,.605,22,58,80,62,29,4,43,34
Fernando Ramirez,Spanish Liga U,2026,Regular_Season,Totals,UMLU,25,555.0,208,72,170,.424,12,60,.200,52,85,.612,17,54,71,100,42,1,97,64
Khory Brunot,Spanish Liga U,2026,Regular_Season,Totals,GLU,17,382.2,207,73,166,.440,23,63,.365,38,74,.514,23,58,81,23,29,3,25,41
Diego Niebla,Spanish Liga U,2026,Regular_Season,Totals,JLU,19,402.1,206,69,177,.390,15,61,.246,53,75,.707,11,41,52,28,26,7,36,43
Ousmane Diarra,Spanish Liga U,2026,Regular_Season,Totals,RMLU,24,526.8,205,86,127,.677,0,0,.000,33,75,.440,67,90,157,14,12,23,27,64
Javier Viguer Garcia de la Vega,Spanish Liga U,2026,Regular_Season,Totals,VLU,24,493.2,203,74,188,.394,31,103,.301,24,34,.706,17,66,83,26,19,7,41,34
Ramiro Rodriguez,Spanish Liga U,2026,Regular_Season,Totals,BLU,26,641.3,201,70,188,.372,16,71,.225,45,72,.625,32,57,89,86,49,1,53,96
Eric del Castillo Lindo,Spanish Liga U,2026,Regular_Season,Totals,JLU,28,691.3,198,73,204,.358,17,68,.250,35,54,.648,40,76,116,50,27,12,47,65
Matus Rybar,Spanish Liga U,2026,Regular_Season,Totals,UMLU,25,509.6,197,71,185,.384,19,71,.268,36,42,.857,9,40,49,35,20,0,66,84
Enric Sanmartin,Spanish Liga U,2026,Regular_Season,Totals,GLU,22,492.2,196,74,198,.374,24,94,.255,24,53,.453,25,68,93,24,42,1,60,53
Izan Almansa,Spanish Liga U,2026,Regular_Season,Totals,RMLU,15,380.3,195,71,144,.493,7,30,.233,46,70,.657,33,69,102,33,12,9,16,18
Marc Rosell,Spanish Liga U,2026,Regular_Season,Totals,BMLU,29,623.3,193,68,230,.296,41,162,.253,16,23,.696,31,62,93,29,29,5,32,43
Octavi Fuentes,Spanish Liga U,2026,Regular_Season,Totals,GLU,23,572.1,192,82,192,.427,8,54,.148,20,60,.333,53,82,135,52,76,5,38,42
Louis Riga,Spanish Liga U,2026,Regular_Season,Totals,CCLU,28,529.7,191,63,181,.348,25,93,.269,40,65,.615,31,73,104,28,29,3,32,88
Diego Fernandez Trujillo,Spanish Liga U,2026,Regular_Season,Totals,CCLU,27,544.2,190,57,158,.361,29,86,.337,47,71,.662,13,36,49,52,16,1,39,52
Carlos Alias,Spanish Liga U,2026,Regular_Season,Totals,CZLU,27,653.1,189,74,223,.332,15,85,.176,26,59,.441,27,85,112,82,33,1,48,71
David Acosta Moline,Spanish Liga U,2026,Regular_Season,Totals,CCLU,25,594.9,187,84,141,.596,3,15,.200,16,52,.308,85,108,193,17,8,15,26,78
Omer Kutluay,Spanish Liga U,2026,Regular_Season,Totals,RMLU,18,356.6,182,61,126,.484,17,44,.386,43,51,.843,8,59,67,64,26,1,51,18
Amadou B. Traore,Spanish Liga U,2026,Regular_Season,Totals,BLU,25,543.7,179,72,133,.541,1,6,.167,34,86,.395,71,84,155,10,27,11,34,79
Nil Poza Cervantes,Spanish Liga U,2026,Regular_Season,Totals,BLU,26,609.8,174,57,162,.352,33,113,.292,27,34,.794,7,41,48,104,31,0,47,63
Kepa de Castro Hurtado,Spanish Liga U,2026,Regular_Season,Totals,BLU,22,517.8,173,57,174,.328,23,87,.264,36,60,.600,25,41,66,74,41,0,51,66
Jose Tomas Martinez Sanchez,Spanish Liga U,2026,Regular_Season,Totals,UMLU,24,492.9,173,65,172,.378,20,86,.233,23,53,.434,39,63,102,33,36,3,37,86
Gunars Grinvalds,Spanish Liga U,2026,Regular_Season,Totals,RMLU,23,434.7,172,56,156,.359,25,91,.275,35,52,.673,23,56,79,25,24,2,33,50
Bingen Errasti,Spanish Liga U,2026,Regular_Season,Totals,BLU,14,377.1,171,58,141,.411,20,63,.317,35,43,.814,15,42,57,49,35,0,48,36
Javier Valero Chica,Spanish Liga U,2026,Regular_Season,Totals,ULU,25,415.6,170,61,150,.407,15,57,.263,33,53,.623,54,67,121,11,18,11,30,62
Fabian Kayser,Spanish Liga U,2026,Regular_Season,Totals,RMLU,21,434.8,168,55,164,.335,20,83,.241,38,41,.927,15,53,68,36,21,4,43,46
Pol Coll Quintanas,Spanish Liga U,2026,Regular_Season,Totals,GLU,24,574.5,167,61,148,.412,21,80,.263,24,44,.545,57,82,139,87,67,4,57,61
Marc Gustran,Spanish Liga U,2026,Regular_Season,Totals,LLU,23,358.6,165,51,129,.395,38,107,.355,25,34,.735,13,44,57,11,10,1,13,32
Alonso De La Iglesia Galindo,Spanish Liga U,2026,Regular_Season,Totals,ULU,22,389.6,163,65,158,.411,9,35,.257,24,43,.558,8,20,28,37,27,2,38,25
Osaretin Cerda Freire,Spanish Liga U,2026,Regular_Season,Totals,GLU,24,508.5,162,66,139,.475,0,0,.000,30,59,.508,64,96,160,14,13,41,65,80
Aner Sardui,Spanish Liga U,2026,Regular_Season,Totals,BLU,24,417.6,156,57,152,.375,32,97,.330,10,16,.625,17,28,45,19,13,2,31,55
Marcus Engelhardt,Spanish Liga U,2026,Regular_Season,Totals,ULU,13,369.4,152,56,134,.418,12,46,.261,28,40,.700,30,83,113,18,15,27,30,39
Jakob Siftar,Spanish Liga U,2026,Regular_Season,Totals,BLU,24,429.5,152,50,153,.327,15,61,.246,37,46,.804,16,50,66,39,20,4,52,48
Fabian Diaz,Spanish Liga U,2026,Regular_Season,Totals,GCLU,24,462.4,149,56,136,.412,11,47,.234,26,55,.473,15,40,55,60,46,4,41,34
Alvaro Cativiela,Spanish Liga U,2026,Regular_Season,Totals,CZLU,23,387.4,149,55,113,.487,17,49,.347,22,37,.595,19,53,72,26,33,0,26,81
Kevin Macias Book,Spanish Liga U,2026,Regular_Season,Totals,JLU,28,605.0,148,65,156,.417,1,18,.056,17,30,.567,72,85,157,17,19,7,38,49
Lucas Hernandez Langarita,Spanish Liga U,2026,Regular_Season,Totals,CZLU,9,219.7,147,54,133,.406,30,78,.385,9,16,.563,6,22,28,31,16,2,16,5
Jesus Garcia Cerezo,Spanish Liga U,2026,Regular_Season,Totals,GLU,22,355.5,143,51,138,.370,25,86,.291,16,22,.727,9,19,28,18,25,1,24,31
Diego Ferreras,Spanish Liga U,2026,Regular_Season,Totals,BLU,24,438.5,142,51,173,.295,23,109,.211,17,33,.515,20,38,58,31,30,1,35,48
